ID,Experience,Income,Age,Family,CCAvg,Education,Mortgage,CreditCard,Securities Account,CD Account,ZIP Code,Online,Personal Loan
74,16,85,41,1,4,3,0,1,0,0,94606,TRUE,0
75,3,135,28,2,3.3,1,0,1,0,0,94611,FALSE,0
76,7,135,31,4,3.8,2,0,1,0,1,94901,TRUE,1
77,32,12,58,3,0.3,3,0,0,0,0,91320,FALSE,0
78,20,29,46,3,0.5,2,0,0,0,0,92220,FALSE,0
79,30,133,54,2,2.6,3,0,0,0,0,93305,FALSE,1
80,26,19,50,2,0.4,1,118,0,0,0,94720,TRUE,0
81,36,41,60,4,1.3,1,174,1,0,0,95134,TRUE,0
82,22,40,47,3,2.7,2,0,0,0,0,94612,TRUE,0
83,16,82,41,1,4,3,0,0,0,0,92507,TRUE,0
84,9,50,33,1,2.4,2,0,0,0,0,94305,FALSE,0
85,22,18,46,1,0.9,3,0,0,0,0,91730,TRUE,0
86,2,109,27,4,1.8,3,0,0,0,0,94005,FALSE,0
87,16,42,40,4,2.2,2,126,0,0,0,94501,FALSE,0
88,22,78,48,3,1.1,1,0,0,0,0,94305,TRUE,0
89,41,51,65,2,1.1,1,0,0,0,0,94117,TRUE,0
90,-1,113,25,4,2.3,3,0,1,0,0,94303,FALSE,0
91,30,118,55,4,5.6,2,0,0,0,0,90277,TRUE,1
92,10,29,35,4,1.1,3,0,0,0,0,94105,TRUE,0
93,19,34,43,3,0.6,2,0,0,0,0,94305,FALSE,0
94,34,64,60,2,1.7,3,236,0,1,0,94550,TRUE,0
95,39,121,65,1,2,1,0,0,0,0,92612,FALSE,0
96,12,48,38,4,0.2,3,0,0,0,0,95617,TRUE,0
97,15,80,41,1,5.2,1,0,0,0,0,95014,FALSE,0
98,28,161,54,1,2.9,1,0,0,0,0,92121,TRUE,0
99,23,94,49,1,0.3,1,0,0,0,0,92374,TRUE,0
100,41,15,66,3,0.1,3,0,0,0,0,91711,TRUE,0
101,23,74,48,1,1.2,1,0,0,0,0,94080,TRUE,0
102,36,30,61,3,1.3,2,0,0,0,0,94608,FALSE,0
103,23,44,53,3,1,3,198,1,0,0,93555,TRUE,0
104,18,22,43,2,0.3,2,0,0,0,0,95670,TRUE,0
105,32,38,56,4,1.3,1,166,1,0,0,93311,TRUE,0
106,0,35,24,3,0.1,2,0,0,1,0,94704,TRUE,0
107,17,69,43,4,2.9,1,0,1,0,0,92717,TRUE,0
108,18,43,42,1,0.7,1,136,0,0,0,92037,FALSE,0
109,7,32,33,1,0.6,3,166,0,0,0,95136,TRUE,0
110,17,49,43,1,2.8,1,0,0,0,0,94542,TRUE,nan
111,14,9,41,3,1,2,0,0,0,0,91330,FALSE,nan
112,38,45,62,4,1.3,2,0,0,0,0,94143,TRUE,nan
113,15,82,40,3,1,1,309,0,0,0,91775,FALSE,nan
114,34,92,58,2,2.8,1,103,0,0,0,92703,FALSE,nan
115,14,39,39,3,0.5,3,0,0,0,0,92354,TRUE,nan
116,40,81,65,3,1.8,2,0,0,0,0,92024,TRUE,nan
117,29,35,54,1,1.5,2,0,0,0,0,92831,TRUE,nan
118,33,61,58,2,2.3,3,193,0,0,0,92833,TRUE,nan
119,16,73,41,3,3,1,0,0,0,0,92647,TRUE,nan
120,7,112,32,1,4.6,1,366,0,0,0,94304,FALSE,nan
121,29,12,54,2,0.2,3,0,0,0,0,90057,TRUE,0
122,26,38,52,3,0.9,3,0,0,0,0,91711,TRUE,0
123,32,73,58,2,0.7,2,0,1,0,0,94523,TRUE,0
124,13,84,37,1,3.6,2,0,0,1,0,92130,FALSE,0
125,15,78,39,4,2.4,1,118,0,0,0,92121,TRUE,0
126,35,80,60,3,0.5,1,0,0,0,0,91301,TRUE,0
127,5,115,31,2,1.3,1,101,1,0,0,92096,TRUE,0
128,8,82,34,1,2.7,2,251,0,0,0,92646,TRUE,0
129,14,74,38,2,0,1,0,0,1,0,92182,TRUE,0
130,16,70,41,3,0.5,3,0,1,0,0,92131,FALSE,0
131,4,81,28,3,1.5,1,276,0,0,0,94801,TRUE,0
132,34,149,58,4,7.2,2,0,1,0,1,93720,TRUE,1
133,1,51,31,2,1.75,3,0,0,0,0,90840,FALSE,0
134,4,39,30,3,1.1,2,0,0,0,0,90245,TRUE,0
135,29,98,53,3,1.8,2,0,0,0,0,95035,FALSE,0
136,33,45,58,4,2.1,1,0,1,0,0,93010,TRUE,0
137,32,49,59,4,2.5,2,0,0,0,0,95035,TRUE,0
138,25,128,49,2,0.4,1,0,0,0,0,95054,FALSE,0
139,34,42,59,3,1.5,1,0,1,1,1,94928,FALSE,0
140,35,18,59,1,1.2,3,0,0,0,0,93305,TRUE,0
141,25,31,51,2,0.4,3,161,1,0,0,90245,TRUE,0
142,11,58,35,3,2,1,149,1,0,0,95831,TRUE,0
143,9,48,33,1,2.1,3,0,1,0,0,91770,FALSE,0
144,1,54,25,4,1.6,1,0,1,0,0,94117,TRUE,0
145,23,70,49,2,1.5,2,0,0,0,0,92093,FALSE,0
146,35,124,59,1,7.4,1,0,1,0,0,90007,FALSE,0
147,19,84,46,1,2.67,2,0,1,0,0,94102,TRUE,0
148,25,83,50,4,3.6,3,188,0,0,0,94542,TRUE,0
149,28,163,52,2,0.4,1,116,0,0,0,91423,TRUE,0
150,22,42,48,3,2.2,2,0,0,0,0,93955,FALSE,0
151,22,118,46,2,7.5,1,0,1,0,1,94107,TRUE,0
152,0,132,26,3,6.5,3,0,1,0,0,92834,FALSE,1
153,32,24,57,1,1.3,1,0,1,0,0,93117,TRUE,0
154,36,22,60,2,1,1,0,1,1,1,94551,TRUE,0
155,29,58,54,4,1.3,3,0,0,0,0,92612,FALSE,0
156,0,60,24,4,1.6,1,0,0,0,0,94596,TRUE,0
157,0,15,26,4,0.4,1,0,1,0,0,92131,FALSE,0
158,17,83,41,4,2.67,1,0,1,0,0,94025,TRUE,0
159,6,79,32,2,1.5,3,0,1,0,0,94720,TRUE,0
160,35,41,61,4,1.7,2,0,0,1,0,94545,TRUE,0
161,0,134,29,4,6.5,3,0,0,0,0,95819,FALSE,1
162,35,80,61,2,2.8,1,0,0,0,0,95053,TRUE,0
163,12,52,38,1,2,1,0,0,0,0,90036,FALSE,0
164,4,70,28,4,2.6,1,0,0,0,0,91125,TRUE,0
165,27,92,53,2,1.1,1,0,0,1,0,95120,FALSE,0
166,1,43,27,1,1.5,1,0,0,0,0,94706,TRUE,0
167,1,21,25,3,1,2,0,0,0,0,95827,FALSE,0
168,9,23,33,3,0.9,3,0,1,0,0,94305,TRUE,0
169,26,13,50,4,1,1,0,0,0,0,91320,TRUE,0
170,1,112,27,4,2.1,3,0,1,0,0,90503,FALSE,0
171,1,138,27,2,2,1,0,0,0,0,90250,TRUE,0
172,28,11,52,3,0.4,1,0,0,1,0,95817,FALSE,0
173,13,171,38,2,7.8,1,0,0,0,0,92717,TRUE,0
174,34,42,58,4,1.5,1,0,1,0,0,90095,TRUE,0
175,17,168,42,2,7.9,2,0,0,0,0,95503,TRUE,1
176,20,85,45,4,1.1,2,0,0,1,0,91711,TRUE,0
177,25,44,52,3,1,2,135,0,0,0,93111,TRUE,0
178,3,65,29,4,1.8,2,244,0,0,0,94132,FALSE,0
179,29,24,53,4,0.2,1,0,1,0,0,95818,TRUE,0
180,37,11,62,1,0.1,1,0,0,0,0,91942,TRUE,0
181,27,38,51,2,1,3,164,0,0,0,90401,TRUE,0
182,12,10,36,4,0.7,2,81,0,0,0,93524,FALSE,0
183,0,135,24,1,1.5,1,0,0,0,0,95133,TRUE,0
184,3,148,29,3,4.1,1,0,0,0,0,92173,TRUE,1
185,26,63,52,2,1.5,2,0,0,1,0,92717,TRUE,0
186,14,115,39,1,1,3,0,0,0,0,91320,TRUE,0
187,23,45,48,1,0.3,1,0,1,0,0,95616,TRUE,0
188,21,159,46,3,1.9,3,315,0,0,0,94305,TRUE,1
189,40,169,64,2,2.1,1,122,0,0,0,91320,TRUE,0
190,29,112,55,2,1.4,1,0,0,0,0,94043,TRUE,0
191,36,93,60,1,4.3,1,0,0,0,0,92521,TRUE,0
192,25,29,51,1,0.3,3,140,0,0,0,90404,FALSE,0
193,23,85,50,1,2.67,2,0,0,0,0,92122,TRUE,0
194,24,21,48,4,0.6,1,0,1,0,0,93118,TRUE,0
195,29,144,53,2,6.8,1,0,0,0,0,92697,TRUE,0
196,10,13,34,4,1,1,95,0,1,0,94577,TRUE,0
197,24,165,48,1,5,1,0,1,0,0,93407,FALSE,0
198,31,9,55,4,0.7,1,89,0,0,0,91345,TRUE,0
199,3,59,27,4,0,1,90,0,1,0,94123,TRUE,0
200,11,158,36,1,5.1,3,0,1,0,1,92152,TRUE,1
201,6,29,32,1,1.9,3,0,1,0,0,91355,TRUE,0
202,9,20,35,2,1.4,3,0,1,0,0,94609,TRUE,0
203,3,68,30,4,2,2,0,0,0,0,94306,TRUE,0
204,34,65,58,4,2.2,1,0,0,0,0,95747,TRUE,0
205,31,61,56,2,1.9,2,105,0,0,0,96150,FALSE,0
206,12,91,38,4,1.4,2,100,1,0,0,95616,FALSE,0
207,25,31,49,1,1,1,0,0,1,0,91355,TRUE,0
208,10,71,34,4,0.1,2,0,0,0,0,94115,FALSE,0
209,16,73,40,4,2.67,1,0,1,0,0,94110,TRUE,0
210,39,172,64,4,3.1,1,282,1,0,1,94707,TRUE,1
211,26,20,51,2,0,1,0,0,0,0,92131,FALSE,0
212,18,55,44,1,0.2,1,0,0,0,0,94720,FALSE,0
213,22,69,46,2,1.7,1,209,0,0,0,91604,FALSE,0
214,33,155,57,1,7.4,1,0,0,0,0,91326,TRUE,0
215,28,94,54,1,1.9,2,0,0,0,0,90291,FALSE,0
216,14,92,38,2,0,1,249,1,0,0,95818,TRUE,0
217,3,125,27,2,0.6,1,0,0,0,0,95521,FALSE,0
218,14,74,39,3,3,1,0,0,0,0,94305,FALSE,0
219,20,72,44,3,0.3,3,0,0,0,0,92807,TRUE,0
220,30,61,56,1,2.2,3,0,1,0,0,94707,TRUE,0
221,6,25,32,2,0.3,1,0,1,0,0,92130,FALSE,0
222,19,83,45,2,1.7,2,0,0,0,0,95051,TRUE,0
223,2,104,26,3,2.5,1,0,0,0,0,94306,FALSE,0
224,25,41,55,3,1,3,0,0,0,0,95014,TRUE,0
225,27,58,52,4,1.8,3,91,0,0,0,94305,FALSE,0
226,13,93,39,1,1.5,3,0,1,0,0,94720,FALSE,0
227,-1,39,24,2,1.7,2,0,0,0,0,94085,FALSE,0
228,23,148,47,2,7.5,1,0,1,0,1,94551,TRUE,0
229,22,53,47,4,1.9,3,98,1,1,1,92677,FALSE,0
230,24,71,48,2,1.7,1,145,1,0,0,93117,FALSE,0
231,22,92,47,1,2.8,2,0,0,0,0,94720,TRUE,0
232,10,61,35,4,2.1,3,0,0,0,0,94304,TRUE,0
233,19,38,46,3,2.5,2,135,0,0,0,94122,FALSE,0
234,37,58,62,4,1.7,1,0,0,0,0,91320,TRUE,0
235,1,80,26,1,0.8,2,150,0,0,0,95616,FALSE,0
236,8,71,38,4,1.8,3,0,0,0,0,94720,TRUE,0
237,18,89,43,3,0.5,3,0,1,0,0,93407,TRUE,0
238,38,83,62,1,1.8,3,0,0,0,0,92521,TRUE,0
239,32,28,57,3,0.2,1,0,1,0,0,95831,TRUE,0
240,3,52,28,4,1.7,2,0,0,0,0,94112,FALSE,0
241,26,70,51,1,1.2,1,169,0,0,0,90089,FALSE,0
242,22,71,48,1,1.4,3,0,1,0,0,91711,FALSE,0
243,16,75,41,1,3.7,3,280,0,0,0,94005,FALSE,0
244,39,170,65,3,7.9,3,99,0,0,1,90095,TRUE,1
245,17,78,41,4,0.8,1,78,0,0,0,94025,TRUE,0
246,11,25,35,2,1,2,0,0,0,0,92614,FALSE,0
247,14,60,38,2,0.6,3,0,1,0,0,94025,TRUE,0
248,29,120,53,4,2.7,2,111,0,1,1,92626,TRUE,1
249,29,99,55,2,1.4,1,264,1,0,0,92121,TRUE,0
250,1,55,26,3,2.6,3,113,1,0,0,90089,FALSE,0
251,6,29,30,3,1,2,117,0,0,0,94305,FALSE,0
252,28,170,54,2,6.2,2,325,0,0,0,92182,TRUE,1
253,40,53,65,3,2.2,1,0,1,0,0,91711,FALSE,0
254,21,138,47,1,0,1,0,0,0,0,94583,FALSE,0
255,41,134,65,3,3.9,3,121,0,0,0,91942,TRUE,1
256,40,42,66,2,0.7,3,138,1,0,0,92103,FALSE,0
257,0,99,26,4,2.3,3,0,1,0,0,92697,FALSE,0
258,41,18,66,3,0.5,1,0,1,0,0,92691,FALSE,0
259,9,24,35,4,0.3,1,0,0,0,0,95747,TRUE,0
260,30,55,56,1,1.4,1,77,0,0,0,94107,TRUE,0
261,27,58,51,1,0,1,0,1,0,0,92407,FALSE,0
262,16,111,42,2,1.2,3,251,0,0,0,93106,TRUE,1
263,23,33,49,1,0.3,3,0,1,0,1,90245,TRUE,0
264,1,74,27,4,1.8,2,112,1,0,0,92121,TRUE,nan
265,19,38,45,2,0.7,1,0,0,0,0,90840,FALSE,nan
266,23,23,49,4,0.6,3,98,0,1,0,94305,FALSE,nan
267,38,61,63,2,1.5,1,0,0,0,0,94720,TRUE,nan
268,22,81,47,1,2.9,1,138,0,0,0,90504,FALSE,nan
269,39,129,64,1,2.5,1,0,0,0,0,94002,TRUE,nan
270,13,33,43,1,0.75,3,0,0,0,0,95039,FALSE,nan
271,36,63,60,4,2.2,1,0,0,0,0,94063,TRUE,nan
272,14,70,40,4,1.4,2,0,0,0,0,94923,TRUE,nan
273,3,45,29,4,0.2,1,158,1,0,0,95023,TRUE,nan
274,16,65,41,3,0.5,3,0,0,0,0,90095,TRUE,nan
275,5,74,30,4,2.2,1,0,1,1,0,95616,FALSE,nan
276,24,50,49,4,1.8,3,0,0,1,0,94706,FALSE,nan
277,5,22,30,4,0.5,3,109,0,0,0,90058,TRUE,nan
278,2,30,29,4,1,3,0,0,0,0,92126,FALSE,nan
279,26,21,50,4,1,1,0,0,0,0,91125,TRUE,nan
280,14,155,39,2,3.9,1,0,0,0,0,94577,TRUE,nan
281,8,64,33,4,2.1,3,164,0,0,0,92121,TRUE,nan
282,31,65,57,4,2.6,3,0,1,0,0,94118,FALSE,nan
283,9,71,34,4,0.7,3,0,0,0,0,91711,TRUE,nan
284,36,40,61,3,0.5,2,0,0,1,0,90029,TRUE,0
285,19,69,44,3,0.5,3,0,0,0,0,92806,TRUE,0
286,13,69,40,3,2.33,2,0,0,0,0,94305,FALSE,0
287,25,45,51,3,0.6,2,131,0,0,0,94806,TRUE,0
288,12,62,37,3,0.7,2,0,1,0,0,92110,FALSE,0
289,19,172,44,2,4.3,3,391,0,1,1,94306,TRUE,1
290,15,24,42,3,1,2,0,1,0,0,92121,TRUE,0
291,25,80,51,1,4.9,1,0,0,0,0,92373,FALSE,0
292,16,8,43,3,0.67,2,88,0,0,0,90089,TRUE,0
293,5,38,30,4,0.8,1,129,1,0,0,94542,TRUE,0
294,19,93,45,4,2.6,3,0,0,0,0,90095,FALSE,0
295,9,55,35,1,2,1,0,0,0,0,94536,TRUE,0
296,34,64,60,2,1.7,3,0,1,0,0,94304,FALSE,0
297,9,122,34,1,0,1,0,0,0,0,90623,TRUE,0
298,25,70,55,3,1.4,3,0,0,0,0,93720,TRUE,0
299,19,81,43,2,3.2,1,0,0,0,0,92069,FALSE,0
300,15,159,41,1,5.5,3,0,0,0,1,90057,TRUE,1
301,9,70,34,4,1.3,1,0,0,1,0,92843,FALSE,0
302,39,150,65,2,6.9,1,196,0,0,0,92120,FALSE,0
303,21,152,45,2,7.5,1,0,0,0,0,94550,TRUE,0
304,25,195,49,4,3,1,617,0,0,0,95605,FALSE,1
305,23,22,48,1,0.1,1,0,0,0,0,90740,FALSE,0
306,35,22,60,1,1.3,1,123,0,0,0,91207,TRUE,0
307,29,79,55,3,0.8,1,0,1,0,0,92373,TRUE,0
308,18,33,42,1,1.4,3,0,0,0,0,90401,TRUE,0
309,8,128,32,2,4.33,1,0,1,0,1,94720,TRUE,0
310,38,91,62,1,3.8,1,0,0,1,0,95929,TRUE,0
311,32,39,57,4,0.9,1,0,1,0,0,90277,TRUE,0
312,26,121,52,1,7.3,1,167,0,0,0,94550,TRUE,0
313,6,21,36,1,0.67,3,0,0,1,0,91741,TRUE,0
314,9,41,34,3,2.3,1,0,1,0,0,93720,FALSE,0
315,37,45,63,2,0.7,3,0,0,0,0,93437,TRUE,0
316,-2,51,24,3,0.3,3,0,0,0,0,90630,TRUE,0
317,31,165,57,1,1.6,2,0,0,0,0,95054,TRUE,1
318,16,119,40,2,4.2,2,0,0,0,0,91335,TRUE,1
319,2,110,27,4,1.8,3,190,0,0,0,95670,TRUE,0
320,39,20,65,3,0.7,2,0,1,0,0,90034,FALSE,0
321,34,64,60,1,0.8,2,248,0,0,0,90266,FALSE,0
322,20,101,44,3,4.4,2,82,0,0,0,92717,FALSE,1
323,39,101,63,1,3.9,1,0,0,1,1,92007,TRUE,1
324,34,99,59,1,4.4,1,0,0,0,0,90034,FALSE,1
325,30,158,56,4,6.1,1,0,0,0,0,90089,FALSE,1
326,28,89,54,1,1.9,2,0,1,0,0,95039,TRUE,0
327,27,80,52,1,1.3,3,0,1,0,1,95616,TRUE,0
328,32,114,58,2,2,1,402,0,0,0,91330,TRUE,0
329,35,49,60,3,0.5,2,0,1,0,0,94110,TRUE,0
330,4,191,28,1,6.33,1,0,0,0,0,90064,TRUE,0
331,30,78,54,4,1,2,0,0,0,0,92374,TRUE,0
332,6,28,32,3,1,1,0,0,0,0,94115,FALSE,0
333,33,42,59,1,0.8,2,0,0,0,0,95630,TRUE,0
334,38,140,63,1,2.5,1,0,0,0,0,92407,FALSE,0
335,23,45,48,1,1.3,2,0,0,0,0,95053,TRUE,0
336,32,122,56,2,0.3,1,360,1,0,1,95827,TRUE,0
337,12,65,36,3,2.6,2,0,0,0,0,95051,TRUE,0
338,27,68,57,1,1.4,3,0,0,0,0,94117,TRUE,0
339,3,153,29,2,2,1,392,0,0,0,93657,FALSE,0
340,13,89,39,4,1.4,2,0,0,0,0,92110,FALSE,0
341,34,91,59,1,2.6,1,0,1,0,0,93524,TRUE,0
342,6,55,31,4,2,2,185,0,0,0,92038,TRUE,0
343,19,118,43,2,3.3,1,0,1,0,0,91304,FALSE,0
344,5,22,35,1,0.67,3,103,0,0,0,93407,FALSE,0
345,24,63,54,3,1.4,3,138,1,0,0,92606,TRUE,0
346,27,12,51,4,0.5,2,78,0,1,0,92192,TRUE,0
347,19,50,44,3,2.7,2,0,0,0,0,90745,TRUE,0
348,0,43,25,2,1.6,3,0,1,1,1,94305,TRUE,0
349,15,173,40,4,6.6,1,0,1,0,1,95060,TRUE,1
350,2,60,26,2,3,1,132,0,0,0,93407,FALSE,1
351,14,113,39,1,1,3,0,0,1,0,94301,TRUE,0
352,4,155,28,4,5.3,2,0,0,0,0,92182,TRUE,1
353,28,91,52,4,1,2,0,1,0,0,92692,FALSE,0
354,29,55,53,4,1.1,2,0,0,0,0,95818,TRUE,0
355,20,173,44,2,1.4,1,419,0,0,0,90277,TRUE,0
356,19,71,43,3,0.3,3,0,1,0,0,92101,FALSE,0
357,30,24,56,2,0.4,3,88,0,0,0,94704,FALSE,0
358,14,42,38,1,2,2,81,0,0,0,94610,TRUE,0
359,6,141,30,2,4.33,1,0,0,0,0,94539,TRUE,0
360,6,32,32,1,1.9,3,0,0,0,0,93106,TRUE,0
361,10,55,35,4,1.3,1,0,0,0,0,94539,FALSE,0
362,19,153,43,2,7.5,1,0,0,0,0,90254,TRUE,0
363,32,113,58,2,1.4,1,270,1,0,0,94590,FALSE,0
364,0,30,25,2,1.7,2,0,0,0,0,92691,FALSE,0
365,24,29,54,3,1,3,148,1,0,0,92028,FALSE,0
366,32,174,57,1,6.8,2,466,0,0,0,90089,TRUE,1
367,24,35,50,1,0.3,3,0,0,0,0,92717,TRUE,0
368,8,98,32,2,2,2,175,0,0,0,95054,TRUE,0
369,37,30,63,2,1,3,159,0,0,0,92054,TRUE,0
370,6,58,31,2,2.5,1,0,1,0,0,95051,FALSE,0
371,12,25,36,4,1,1,147,0,0,0,92101,FALSE,0
372,34,19,58,4,0.7,1,0,0,0,0,92029,FALSE,0
373,30,44,56,4,0.7,2,174,0,0,0,93105,TRUE,0
374,25,20,49,4,1,1,111,1,0,0,90291,TRUE,0
375,5,98,30,2,3.1,1,220,0,0,0,91941,TRUE,0
376,7,90,33,3,1.6,1,0,0,0,0,92346,TRUE,0
377,21,61,45,3,0.7,1,0,0,0,0,94304,FALSE,0
378,5,40,30,4,2,2,0,0,0,0,94402,TRUE,0
379,23,38,47,2,2.1,3,0,0,0,0,94618,FALSE,0
380,0,28,25,2,1.7,2,0,0,0,0,92093,FALSE,0
381,33,34,63,1,1.5,3,0,1,0,0,94305,TRUE,0
382,29,73,55,2,2.3,3,0,1,0,0,95616,TRUE,0
383,41,133,65,4,2,1,0,1,0,0,94904,FALSE,1
384,18,53,44,1,0.2,1,0,0,0,0,94608,TRUE,0
385,25,21,51,4,0.6,3,0,1,0,0,9307,TRUE,0
386,9,40,35,3,0.9,1,0,0,0,0,93943,TRUE,0
387,5,41,30,4,1.7,2,0,0,0,0,95051,TRUE,0
388,5,82,31,4,1.8,2,0,0,0,0,95482,TRUE,0
389,30,100,54,4,3.4,3,0,0,0,0,95814,FALSE,1
390,20,155,45,1,7,1,0,1,0,0,90024,TRUE,0
391,19,45,45,1,0.2,1,0,0,0,0,92521,TRUE,0
392,32,9,58,3,0.3,3,0,1,0,0,94080,FALSE,0
393,29,48,54,4,1.8,3,0,0,0,0,91709,TRUE,0
394,28,18,53,4,0.1,3,109,1,1,1,90095,TRUE,0
395,9,80,33,4,3.4,1,0,1,0,0,91311,TRUE,0
396,35,64,60,2,2.8,1,0,0,0,0,94509,FALSE,0
397,24,29,50,4,0.1,1,0,0,0,0,93023,FALSE,0
398,2,48,26,3,0.7,2,0,0,0,0,90503,TRUE,0
399,30,23,54,2,0.4,1,0,0,0,0,94608,FALSE,0
400,3,84,28,4,0.2,1,0,1,0,0,90024,TRUE,0
401,10,179,36,3,6.6,1,0,0,0,0,94542,TRUE,1
402,2,30,29,4,1.5,2,112,1,0,0,95747,FALSE,0
403,28,93,54,1,4.9,1,133,1,0,1,91604,TRUE,0
404,30,39,55,2,1.9,2,0,0,0,0,92647,FALSE,0
405,36,60,61,3,0.5,2,182,0,0,0,92866,FALSE,0
406,11,133,36,1,3.8,1,290,1,1,1,90245,TRUE,0
407,19,125,45,1,2.4,1,0,0,0,0,92354,FALSE,0
408,40,58,64,1,1.8,3,0,0,0,0,93437,TRUE,0
409,36,89,60,2,2.8,1,0,0,0,0,91745,TRUE,0
410,22,82,49,1,2.67,2,125,0,0,0,90019,TRUE,0
